"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Crybg1",199.78063244944,2.99844395867066,0.311823575369388,9.61583470755436,6.85510660300469e-22,2.81531280235718e-20
"Zcchc2",338.284377946333,2.11043589327897,0.220026183010611,9.59174887462005,8.6604396614258e-22,3.54390193365565e-20
"Cmpk2",3661.70706980613,6.86398590331698,0.715801928390136,9.58922521870586,8.87489307943149e-22,3.61859399479698e-20
"Clmp",232.785565457643,2.65797210037238,0.277487920563334,9.5786947949892,9.82790202306223e-22,3.99280535596453e-20
"P2ry14",387.937690170019,2.71641137688492,0.284275052185117,9.55557427922312,1.22900390266006e-21,4.97527115594708e-20
"Il17ra",242.196647643986,2.28415992537419,0.239917555821472,9.52060351545883,1.72176201968785e-21,6.94525711500417e-20
"Rab7b",473.164025066551,-2.05640872162197,0.216487983985099,-9.49895085984779,2.12015507646025e-21,8.5219708481124e-20
"Asf1a",146.053998891329,2.37993155320602,0.250572105231238,9.49799081190513,2.13978888216096e-21,8.57049716582845e-20
"Adora2a",73.1833215474378,4.68794317367578,0.494044659500853,9.48890567587988,2.33472306763604e-21,9.31834013086426e-20
"Filip1l",113.878717327824,3.21107457147712,0.338562476287037,9.48443727932428,2.43694348221688e-21,9.69219451611519e-20
"Snx24",49.7923105688749,-3.30726098790589,0.349081165728313,-9.47418913594413,2.68840539071148e-21,1.06549213649352e-19
"Pik3r5",714.054711138422,2.12895852518402,0.224824540897547,9.46942231788739,2.81395572344778e-21,1.11136543990525e-19
"Map4k1",93.6876602058761,-2.72789878744379,0.288485671377952,-9.45592470646455,3.2017928103096e-21,1.26015005225206e-19
"Milr1",399.622739056777,1.95704445481545,0.20701852560338,9.45347499269167,3.27764710079065e-21,1.28554082655578e-19
"Rab11fip1",148.333362601071,3.39780967415199,0.35945987775292,9.45254222917065,3.30699465858696e-21,1.29257877431321e-19
"Lnpk",72.2717954080656,3.22922226704844,0.341705109911528,9.45031892524093,3.37799879686499e-21,1.315794376717e-19
