"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"5430405H02Rik",31.5084264422059,-1.39688246137087,0.389798479030515,-3.58360162113798,0.000338888830682628,0.00140351491618219
"Hebp2",2.10437293432823,5.27368830426504,1.47235539624762,3.58180390258041,0.000341229891981714,0.00141280978525914
"Lrrc1",5.49927867103411,-3.2041208950314,0.894921295867263,-3.5803381926746,0.000343149785572641,0.00142035609940966
"Afg2a",22.5962287704581,-1.5340633162726,0.428512903446271,-3.57996994707756,0.000343633726336206,0.00142195616483072
"Ppp1r12a",152.816419674224,-0.816608001053851,0.228141118921284,-3.57939859730244,0.000344385846370102,0.00142437569427596
"Rgs14",122.357678067728,-0.846664614743613,0.236539619264618,-3.57937760014928,0.000344413516160269,0.00142437569427596
"Mdn1",49.6335107334008,-1.39625431630215,0.390102797657594,-3.57919585474926,0.000344653104933938,0.00142496299302103
"Phykpl",27.6730091315375,-1.58999580051853,0.444385515891528,-3.57796495083481,0.000346279871936713,0.00143128360313949
"Taf5",10.7127493575095,-2.13157503547809,0.595799158468611,-3.57767379355973,0.000346665715427642,0.00143247296049515
"Rnaset2b",588.258144871483,1.10122760426532,0.307881092014477,3.57679517459143,0.000347832506223145,0.00143688771948418
"Arhgdib",1183.2163328954,-0.738085553862066,0.206510579367655,-3.57408107672798,0.000351460022770584,0.0014514623055766
"Selenoi",39.6784443033433,1.11974568123814,0.313309790405191,3.57392496350023,0.00035166974767799,0.00145191781886957
"Wnt10a",8.40509631118521,-4.52757360651332,1.2672470318441,-3.57276323616619,0.00035323411040652,0.0014579643058978
"Galnt12",23.8076479319467,-1.57374885007851,0.440624802165452,-3.57163019953555,0.000354766105964902,0.00146387381898996
"6330403L08Rik",8.74905077045819,2.30053704452309,0.644215058439766,3.57106996240479,0.000355525904658638,0.00146659457224014
"Irf1",1136.29262178128,-1.18510147708381,0.331936775647317,-3.57026266454723,0.000356623446179951,0.00147070663218464
"Polg2",12.3337222849275,-1.79646586390042,0.503238972583025,-3.56980671564351,0.000357244719388058,0.00147285280554032
"Ppm1d",47.6481123318595,-1.2058832798381,0.337829980796898,-3.56949752355777,0.000357666598397766,0.0014741759346324
"Pid1",345.676490970684,1.14990657605591,0.322208038882531,3.56883267110273,0.000358575338866502,0.00147750442253599
"Snx8",189.283051718882,0.755365072723116,0.211665757931213,3.56866920802842,0.000358799095594219,0.00147800936331802
"Rxylt1",76.5842595859192,1.1029666954568,0.309102187953119,3.56829145325908,0.000359316685524171,0.00147972407183008
"Slc25a30",39.2153454933598,1.23991378539218,0.347616868160988,3.56689763633092,0.000361232504956128,0.00148719432474608
"Faap100",58.7762403046588,-0.902724252769793,0.253170020084673,-3.56568385335624,0.000362908641912896,0.00149283236559268
"Il13",8.34623611389955,-4.57780466585937,1.28384636663769,-3.5656950744413,0.000362893113245063,0.00149283236559268
"Pdcd2",94.667187432508,-0.737540614848687,0.206842979010506,-3.56570292294633,0.000362882252202357,0.00149283236559268
"Cldn10",4.35955880232746,-3.79292956292822,1.06384565021226,-3.56530062624351,0.000363439356480383,0.00149459445865475
"Ifnlr1",3.79619303525705,-4.80540907161845,1.34804619907888,-3.56472135369099,0.000364242943521942,0.00149747739421479
"Mettl17",47.5513166633112,-1.0687710400216,0.300034721329105,-3.56215785722104,0.00036781909906861,0.00151175409617194
"Gm7776",18.0182587369745,-2.4895953330307,0.698990139661565,-3.56170307958294,0.000368456945970092,0.00151394957287599
"Utf1",4.19297653369293,-4.57700723224694,1.28543527845698,-3.56066719885043,0.000369913679564069,0.00151950758443716
"Fermt3",577.750302041476,0.481044996808258,0.135106495571099,3.56048756038609,0.000370166847894094,0.00152011993245148
